Name,Country,Goals
Harry Kane,England,6
Romelu Lukaku,Belgium,4
Antoine Griezmann,France,4
Cristiano Ronaldo, Portugal,4
Denis Cheryshev,Russia,4
Kylian Mbappe Lottin,France,4
Eden Hazard,Belgium,3
Edinson Cavani,Uruguay, 3
Mario Mandzukic,Croatia,3
Ivan Perisic, Croatia,3
Philippe Coutinho Correia,Brazil,2
John Stones,England,2
